"Time","116001F","","116001F","","116001F","",""
"and","141.00","","141.00","","141.00","",""
"Date","Discharge (ML/day)","","Discharge (ML/day)","","Discharge (ML/day)","",""
"Date and time","Mean","Quality","Min","Quality","Max","Quality","Comments"
00:00:00 06/04/2010,   54068.564,     30,   39438.317,     30,   64937.679,     30, 
00:00:00 07/04/2010,   48029.140,     30,   35830.987,     30,   62094.903,     30, 
00:00:00 08/04/2010,   29387.428,     30,   24524.295,     30,   35830.987,     30, 
00:00:00 09/04/2010,   21418.330,     30,   19045.757,     30,   24524.295,     30, 
00:00:00 10/04/2010,   17127.120,     30,   15339.845,     30,   19045.757,     30, 
00:00:00 11/04/2010,   13850.362,     30,   12585.802,     30,   15339.845,     30, 
00:00:00 12/04/2010,   11919.097,     30,   11341.339,     30,   12585.802,     30, 
00:00:00 13/04/2010,   10974.002,     30,   10670.391,     30,   11341.339,     30, 
00:00:00 14/04/2010,   10401.823,     30,   10092.362,     30,   10670.391,     30, 
00:00:00 15/04/2010,    9662.001,     10,    9311.414,     10,   10092.362,     10, 
00:00:00 16/04/2010,    9326.185,     10,    9021.629,     10,    9833.962,     10, 
00:00:00 17/04/2010,   10725.070,     10,    9321.782,     10,   11384.798,     10, 
00:00:00 18/04/2010,   21229.542,     10,   10873.146,     10,   28738.930,     10, 
00:00:00 19/04/2010,   33231.252,     10,   27697.810,     10,   36627.163,     10, 
00:00:00 20/04/2010,   20957.932,     10,   16520.285,     10,   27697.810,     10, 
00:00:00 21/04/2010,   14425.246,     10,   12886.171,     10,   16520.285,     10, 
00:00:00 22/04/2010,   12019.855,     10,   11373.955,     10,   12886.171,     10, 
00:00:00 23/04/2010,   14929.998,     10,   11602.699,     10,   16128.288,     10, 
00:00:00 24/04/2010,   14255.244,     10,   13736.261,     10,   15114.989,     10, 
00:00:00 25/04/2010,   17233.574,     10,   14825.462,     10,   18411.019,     10, 
00:00:00 26/04/2010,   15707.534,     10,   14225.803,     10,   17616.658,     10, 
00:00:00 27/04/2010,   12961.142,     10,   12261.931,     10,   14225.803,     10, 
00:00:00 28/04/2010,   12132.289,     10,   11865.398,     10,   13087.656,     10, 
00:00:00 29/04/2010,   13204.126,     10,   12450.197,     10,   13557.240,     10, 
00:00:00 30/04/2010,   11541.679,     10,   10854.994,     10,   12450.197,     10, 
00:00:00 01/05/2010,   10508.990,     10,   10076.486,     10,   10876.507,     10, 
00:00:00 02/05/2010,    9670.696,     10,    9330.925,     10,   10076.486,     10, 
00:00:00 03/05/2010,    9091.533,     10,    8990.698,     10,    9330.925,     10, 
00:00:00 04/05/2010,    9510.656,     10,    8999.302,     10,   10490.731,     10, 
00:00:00 05/05/2010,   10134.416,     10,    9582.322,     10,   10490.731,     10, 
00:00:00 06/05/2010,    9063.801,     10,    8666.693,     10,    9582.322,     10, 
00:00:00 07/05/2010,    8372.140,     10,    8149.961,     10,    8666.693,     10, 
00:00:00 08/05/2010,    7973.734,     10,    7810.024,     10,    8149.961,     10, 
00:00:00 09/05/2010,    7682.887,     10,    7555.486,     10,    7810.024,     10, 
00:00:00 10/05/2010,    7417.512,     10,    7313.738,     10,    7555.486,     10, 
00:00:00 11/05/2010,    7219.412,     10,    7122.665,     10,    7313.738,     10, 
00:00:00 12/05/2010,    7067.898,     10,    7044.527,     10,    7122.665,     10, 
00:00:00 13/05/2010,    6895.164,     10,    6768.685,     10,    7044.527,     10, 
00:00:00 14/05/2010,    6668.182,     10,    6561.000,     10,    6768.685,     10, 
00:00:00 15/05/2010,    6463.481,     10,    6376.162,     10,    6561.000,     10, 
00:00:00 16/05/2010,    6285.122,     10,    6215.867,     10,    6376.162,     10, 
00:00:00 17/05/2010,    6232.491,     10,    6179.890,     10,    6303.182,     10, 
00:00:00 18/05/2010,    6274.843,     10,    6211.108,     10,    6303.182,     10, 
00:00:00 19/05/2010,    6122.029,     10,    6033.625,     10,    6211.108,     10, 
00:00:00 20/05/2010,    5941.895,     10,    5841.374,     10,    6033.625,     10, 
00:00:00 21/05/2010,    5769.900,     10,    5710.939,     10,    5841.374,     10, 
00:00:00 22/05/2010,    5659.958,     10,    5603.829,     10,    5710.939,     10, 
00:00:00 23/05/2010,    5548.373,     10,    5500.138,     10,    5603.829,     10, 
00:00:00 24/05/2010,    5454.481,     10,    5408.825,     10,    5500.138,     10, 
00:00:00 25/05/2010,    5363.169,     10,    5317.513,     10,    5408.825,     10, 
00:00:00 26/05/2010,    5324.725,     10,    5287.075,     10,    5396.933,     10, 
00:00:00 27/05/2010,    5346.391,     10,    5258.397,     10,    5396.933,     10, 
00:00:00 28/05/2010,    5183.562,     10,    5118.842,     10,    5258.397,     10, 
00:00:00 29/05/2010,    5064.610,     10,    5010.378,     10,    5118.842,     10, 
00:00:00 30/05/2010,    4959.899,     10,    4916.776,     10,    5010.378,     10, 
00:00:00 31/05/2010,    4869.565,     10,    4822.070,     10,    4916.776,     10, 
00:00:00 01/06/2010,    4764.790,     10,    4694.506,     10,    4822.070,     10, 
00:00:00 02/06/2010,    4630.270,     20,    4566.927,     20,    4694.506,     20, 
00:00:00 03/06/2010,    4483.876,     20,    4375.633,     20,    4566.927,     20, 
00:00:00 04/06/2010,    4291.145,     20,    4223.895,     20,    4375.633,     20, 
00:00:00 05/06/2010,    4062.521,     20,    3895.846,     20,    4223.895,     20, 
00:00:00 06/06/2010,    3766.182,     20,    3644.741,     20,    3895.846,     20, 
00:00:00 07/06/2010,    3544.330,     20,    3444.898,     20,    3644.741,     20, 
00:00:00 08/06/2010,    3326.366,     20,    3218.866,     20,    3444.898,     20, 
00:00:00 09/06/2010,    3158.620,     20,    3098.375,     20,    3218.866,     20, 
00:00:00 10/06/2010,    3045.016,     20,    2990.056,     20,    3098.375,     20, 
00:00:00 11/06/2010,    2925.678,     20,    2851.664,     20,    2990.056,     20, 
00:00:00 12/06/2010,    2774.760,     20,    2697.855,     20,    2851.664,     20, 
00:00:00 13/06/2010,    2645.220,     20,    2594.695,     20,    2697.855,     20, 
00:00:00 14/06/2010,    2543.804,     20,    2490.916,     20,    2594.695,     20, 
00:00:00 15/06/2010,    2439.511,     20,    2397.341,     20,    2490.916,     20, 
00:00:00 16/06/2010,    2394.464,     20,    2363.688,     20,    2451.416,     20, 
