"Time","120006B","","120006B","","120006B","",""
"and","141.00","","141.00","","141.00","",""
"Date","Discharge (ML/day)","","Discharge (ML/day)","","Discharge (ML/day)","",""
"Date and time","Mean","Quality","Min","Quality","Max","Quality","Comments"
00:00:00 04/05/1975,    4112.016,      9,    4076.870,      9,    4263.248,      9, 
00:00:00 05/05/1975,    4341.388,      9,    4263.248,      9,    4405.190,      9, 
00:00:00 06/05/1975,    4140.128,      9,    4012.502,      9,    4283.496,      9, 
00:00:00 07/05/1975,    3908.174,      9,    3748.075,      9,    4012.502,      9, 
00:00:00 08/05/1975,    3582.040,      9,    3323.635,      9,    3748.075,      9, 
00:00:00 09/05/1975,    3255.132,      9,    3187.253,      9,    3323.635,      9, 
00:00:00 10/05/1975,    3121.784,      9,    3070.570,      9,    3187.253,      9, 
00:00:00 11/05/1975,    3068.906,      9,    3045.082,      9,    3070.570,      9, 
00:00:00 12/05/1975,    2931.296,      9,    2803.118,      9,    3045.082,      9, 
00:00:00 13/05/1975,    2744.237,      9,    2701.339,      9,    2803.118,      9, 
00:00:00 14/05/1975,    2698.933,      9,    2672.222,      9,    2701.339,      9, 
00:00:00 15/05/1975,    2569.556,      9,    2474.971,      9,    2672.222,      9, 
00:00:00 16/05/1975,    2472.013,      9,    2443.651,      9,    2474.971,      9, 
00:00:00 17/05/1975,    2344.721,      9,    2241.734,      9,    2443.651,      9, 
00:00:00 18/05/1975,    2192.977,      9,    2161.469,      9,    2241.734,      9, 
00:00:00 19/05/1975,    2158.967,      9,    2139.091,      9,    2161.469,      9, 
00:00:00 20/05/1975,    2092.519,      9,    2063.880,      9,    2139.091,      9, 
00:00:00 21/05/1975,    2060.962,      9,    2040.206,      9,    2063.880,      9, 
00:00:00 22/05/1975,    1992.754,      9,    1944.648,      9,    2040.206,      9, 
00:00:00 23/05/1975,    1899.551,      9,    1873.800,      9,    1944.648,      9, 
00:00:00 24/05/1975,    1870.024,      9,    1847.016,      9,    1873.800,      9, 
00:00:00 25/05/1975,    1804.300,      9,    1781.093,      9,    1847.016,      9, 
00:00:00 26/05/1975,    1694.953,      9,    1580.342,      9,    1781.093,      9, 
00:00:00 27/05/1975,    1542.971,      9,    1523.707,      9,    1580.342,      9, 
00:00:00 28/05/1975,    1519.351,      9,    1497.182,      9,    1523.707,      9, 
00:00:00 29/05/1975,    1462.168,      9,    1444.997,      9,    1497.182,      9, 
00:00:00 30/05/1975,    1444.997,      9,    1444.997,      9,    1444.997,      9, 
00:00:00 31/05/1975,    1444.997,      9,    1444.997,      9,    1444.997,      9, 
00:00:00 01/06/1975,    1444.997,      9,    1444.997,      9,    1444.997,      9, 
00:00:00 02/06/1975,    1444.997,      9,    1444.997,      9,    1444.997,      9, 
00:00:00 03/06/1975,    1470.388,      9,    1429.150,      9,    1523.707,      9, 
00:00:00 04/06/1975,    1395.073,      9,    1368.965,      9,    1523.707,      9, 
00:00:00 05/06/1975,    1356.754,      9,    1326.326,      9,    1368.965,      9, 
00:00:00 06/06/1975,    1217.692,      9,    1095.811,      9,    1326.326,      9, 
00:00:00 07/06/1975,    1095.811,      9,    1095.811,      9,    1095.811,      9, 
00:00:00 08/06/1975,    1121.553,      9,    1095.811,      9,    1273.174,      9, 
00:00:00 09/06/1975,    1295.657,      9,    1273.174,      9,    1296.086,      9, 
00:00:00 10/06/1975,    1196.458,      9,    1096.891,      9,    1296.086,      9, 
00:00:00 11/06/1975,    1007.712,      9,     924.350,      9,    1096.891,      9, 
00:00:00 12/06/1975,     957.188,      9,     924.350,      9,    1111.901,      9, 
00:00:00 13/06/1975,    1069.749,      9,     924.350,      9,    1296.086,      9, 
00:00:00 14/06/1975,     924.350,      9,     924.350,      9,     924.350,      9, 
00:00:00 15/06/1975,     914.139,      9,     873.763,      9,     924.350,      9, 
00:00:00 16/06/1975,     824.763,      9,     804.902,      9,     873.763,      9, 
00:00:00 17/06/1975,     804.902,      9,     804.902,      9,     804.902,      9, 
00:00:00 18/06/1975,     804.902,      9,     804.902,      9,     804.902,      9, 
00:00:00 19/06/1975,     804.902,      9,     804.902,      9,     804.902,      9, 
00:00:00 20/06/1975,     804.902,      9,     804.902,      9,     804.902,      9, 
00:00:00 21/06/1975,     883.954,      9,     804.902,      9,     924.350,      9, 
00:00:00 22/06/1975,     924.350,      9,     924.350,      9,     924.350,      9, 
00:00:00 23/06/1975,     906.728,      9,     858.254,      9,     924.350,      9, 
00:00:00 24/06/1975,     825.576,      9,     804.902,      9,     884.113,      9, 
00:00:00 25/06/1975,     922.129,      9,     884.113,      9,     924.350,      9, 
00:00:00 26/06/1975,    1051.458,      9,     924.350,      9,    1095.811,      9, 
00:00:00 27/06/1975,    1117.265,      9,    1095.811,      9,    1257.556,      9, 
00:00:00 28/06/1975,    1203.325,      9,    1104.754,      9,    1296.086,      9, 
00:00:00 29/06/1975,    1096.022,      9,    1095.811,      9,    1104.754,      9, 
00:00:00 30/06/1975,    1257.005,      9,    1095.811,      9,    1296.086,      9, 
00:00:00 01/07/1975,    1250.494,      9,    1159.013,      9,    1296.086,      9, 
00:00:00 02/07/1975,    1106.024,      9,    1081.019,      9,    1159.013,      9, 
00:00:00 03/07/1975,     943.248,      9,     801.187,      9,    1095.811,      9, 
00:00:00 04/07/1975,     747.038,      9,     699.710,      9,     801.187,      9, 
00:00:00 05/07/1975,     723.507,      9,     699.710,      9,     804.902,      9, 
00:00:00 06/07/1975,     744.898,      9,     699.710,      9,     797.558,      9, 
00:00:00 07/07/1975,     795.095,      9,     725.563,      9,     804.902,      9, 
00:00:00 08/07/1975,     836.880,      9,     804.902,      9,     924.350,      9, 
00:00:00 09/07/1975,     924.350,      9,     924.350,      9,     924.350,      9, 
00:00:00 10/07/1975,     989.005,      9,     924.350,      9,    1095.811,      9, 
00:00:00 11/07/1975,     884.599,      9,     804.902,      9,    1095.811,      9, 
00:00:00 12/07/1975,     804.902,      9,     804.902,      9,     804.902,      9, 
